latitude,longitude,green_cluster
23.0780437,72.5011804,1
23.0786406,72.5023425,1
23.0775777,72.5009471,1
23.0786375,72.4995516,0
23.0783319,72.4994721,0
23.0790566,72.499654,0
23.0793655,72.499746,0
23.0777786,72.5005191,1
23.077855,72.500891,1
23.0774845,72.5005808,1
23.0782709,72.4999354,0
23.0785945,72.4998693,0
23.0797561,72.4999432,0
23.079236,72.5002154,0
23.0789766,72.5000574,0
23.0775932,72.5016202,1
23.0775614,72.5016327,1
23.0793195,72.5027753,1
